Threshold: 0.5	Score: 0.6781740104347632		Time: 00h 11m 00s
Threshold: 0.475	Score: 0.6854212203657682		Time: 00h 10m 59s
Threshold: 0.45	Score: 0.6914344116858789		Time: 00h 11m 02s
Threshold: 0.425	Score: 0.6972064255034875		Time: 00h 11m 03s
Threshold: 0.375	Score: 0.7083422581479988		Time: 00h 11m 07s
Threshold: 0.35	Score: 0.7130405225936476		Time: 00h 11m 09s
Threshold: 0.325	Score: 0.7178170280637158		Time: 00h 11m 12s
Threshold: 0.3	Score: 0.7219543612655799		Time: 00h 11m 13s
Threshold: 0.275	Score: 0.7257546507997505		Time: 00h 11m 16s
Threshold: 0.25	Score: 0.7289601004051431		Time: 00h 11m 17s
Threshold: 0.225	Score: 0.7317315611282406		Time: 00h 11m 18s
Threshold: 0.175	Score: 0.7367079000678691		Time: 00h 11m 20s
Threshold: 0.15	Score: 0.7384397005160117		Time: 00h 11m 21s
Threshold: 0.125	Score: 0.7399717359866164		Time: 00h 11m 23s
Threshold: 0.1	Score: 0.7411565268725133		Time: 00h 11m 24s
Threshold: 0.075	Score: 0.7420654944344206		Time: 00h 11m 24s
Threshold: 0.05	Score: 0.742778212334511		Time: 00h 11m 25s
Threshold: 0.025	Score: 0.7432493218773863		Time: 00h 11m 25s
